,Max V (increase),Max V (decrease),Max D (increase),Max D (decrease),Min S+R (increase),Min S+R (decrease),Max Mphi (increase),Max Mphi (decrease),Max T (increase),Max T (decrease),Max Lu (increase),Max Lu (decreased),Max Fu (increased),Max Fu (decreased),Total Fu (increase),Total Fu (decrease)
k_B_C,-0.07000058512262210,0.0803063275565068,-0.009755035611100470,0.010052794198233800,0.006508393379706990,-0.0063769277891736500,-0.02286814866046750,0.024409967440463900,-0.012510124916257900,0.012262669445552500,-0.020831444910851200,0.02217917885830660,-0.0028668315399270600,0.0029426872096662800,-0.01198251695578670,0.011647980951841700
k_U_C,0.021475976914312200,-0.021248947792841600,0.0028031645385882000,-0.0028579276316870200,-0.001809322098074380,0.0018719930898014600,0.006711124109889170,-0.0067782180459667900,0.00347829142292877,-0.0035988462222210600,0.006104965684240240,-0.006168973777406990,0.0008208420688455840,-0.0008384222714133970,0.010404745055520900,-0.010354256467301700
R_C_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F_U_0,-8.74866497269089E-06,8.75009985379371E-06,-1.09027795536232E-05,1.09046690310866E-05,9.05436398723758E-06,-9.05589632527182E-06,-6.73041338272729E-06,6.73145074858716E-06,-7.6830134413397E-06,7.68434352393932E-06,-6.20344178270393E-06,6.20439598386646E-06,-1.22043300376795E-06,1.22061108975835E-06,5.06946203988612E-05,-5.06953095438245E-05
F_B_0,-6.81482947850753E-08,6.81484122466713E-08,-8.43762317792596E-08,8.43765353142345E-08,7.02257223483827E-08,-7.02258914353493E-08,-5.22856161699892E-08,5.22857672713428E-08,-5.95674909398269E-08,5.95676192816086E-08,-4.82073096996771E-08,4.82075468433152E-08,-9.49441791853189E-09,9.49444656228593E-09,-2.86169299368311E-09,2.84628498548045E-09
p_F_I,-0.003990987602014330,0.004096934842863440,-0.0032678616026924300,0.003372205526402270,0.004080826211777740,-0.0041881363265164900,-0.002733193037857910,0.002799167897076900,0.0019883059041845300,-0.001926315374142120,-0.002529958578491810,0.0025903417606063500,0.03788519928716740,-0.037902022955584400,0.040013948160466000,-0.04026709955675760
eta_F_I,0.0005868768833880990,-0.0005965759205939230,0.0004220915229193880,-0.00042911056982664100,-0.0006007717390319470,0.0006109435193228930,0.00041882167341289500,-0.0004261623468182490,-0.0009638105037940160,0.0009995679473040480,0.0003869812065422360,-0.0003937891874599140,-0.003330891127162780,0.0033635814419998900,-0.014837559311811700,0.015762309984852500
p_F_MPhi,-0.001144355973623830,0.0011533042813809400,-0.0012028495392426600,0.0012131632663399100,0.001170017771497060,-0.001178916926673270,-0.0007783410619950360,0.0007838451857868910,-0.00043880299682919100,0.000445793927577931,-0.0007205776978020940,0.0007256158753257140,0.011371201253623800,-0.01137727793845930,0.005812551236475280,-0.005831870631918040
eta_F_MPhi,0.0005303493571904290,-0.0005546938938255640,0.0004620111296516070,-0.0004766007392477120,-0.0005421666808284040,0.0005673157320147390,0.0003662523664562660,-0.00038346291839042000,6.58205208114993E-08,1.81878027707416E-05,0.00033883584916538600,-0.0003547636703647990,-0.004523009939236820,0.004711039447275360,-0.00322529330077026,0.0034163829782134500
